Ad group report
1 October 2025 - 31 December 2025
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Ad group type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Brand inclusions,Locations of interest,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,Epic Systems Corporation,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,197,12,6.09%,USD,1.87,22.41,[],[],12,0.00%,0.00,1.87,0.00
Enabled,Hospital Software,ADa - Services,Eligible,unknown,USD, --,Standard,475,29,6.11%,USD,2.17,62.83,[],[],29,0.00%,0.00,2.17,0.00
Enabled,Elation Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,9,2,22.22%,USD,1.96,3.93,[],[],2,0.00%,0.00,1.96,0.00
Enabled,Carepatron,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,6,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,WebPT,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Ensora Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Experity Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,3,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,TherapyNotes,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,8,3,37.50%,USD,1.71,5.14,[],[],3,0.00%,0.00,1.71,0.00
Enabled,Practice Better,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,10,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Software For Doctors,ADa - Services,Eligible,unknown,USD, --,Standard,156,12,7.69%,USD,2.67,32.09,[],[],12,0.00%,0.00,2.67,0.00
Enabled,Athenahealth,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,50,7,14.00%,USD,1.83,12.82,[],[],7,0.00%,0.00,1.83,0.00
Enabled,Patient Management System,ADa - Services,Eligible,unknown,USD, --,Standard,176,6,3.41%,USD,1.95,11.72,[],[],6,0.00%,0.00,1.95,0.00
Enabled,Veradigm,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Praxis EMR,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Clinic Management Software,ADa - Services,Eligible,unknown,USD, --,Standard,"2,151",118,5.49%,USD,2.36,278.54,[],[],118,3.81%,4.50,2.36,61.90
Enabled,Tebra,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,5,2,40.00%,USD,1.41,2.81,[],[],2,0.00%,0.00,1.41,0.00
Enabled,CentralReach,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,5,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,CareCloud,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,10,3,30.00%,USD,1.26,3.79,[],[],3,0.00%,0.00,1.26,0.00
Enabled,NextGen Healthcare,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,19,2,10.53%,USD,1.99,3.97,[],[],2,0.00%,0.00,1.99,0.00
Enabled,ModMed,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,5,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,PrognoCIS (Bizmatics Inc.),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Practice Fusion,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,21,2,9.52%,USD,1.84,3.68,[],[],2,0.00%,0.00,1.84,0.00
Enabled,Innsof Medcare(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Clinic Management System,ADa - Services,Eligible,unknown,USD, --,Standard,70,3,4.29%,USD,2.97,8.92,[],[],3,0.00%,0.00,2.97,0.00
Enabled,Dental Practice Software,ADa - Services,Eligible,unknown,USD, --,Standard,794,62,7.81%,USD,2.31,143.31,[],[],62,0.00%,0.00,2.31,0.00
Enabled,eClinicalWorks,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,33,4,12.12%,USD,1.82,7.28,[],[],4,0.00%,0.00,1.82,0.00
Enabled,Healthcare System,ADa - Services,Eligible,unknown,USD, --,Standard,994,54,5.43%,USD,2.53,136.72,[],[],54,3.70%,2.00,2.53,68.36
Enabled,SimplePractice,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,6,2,33.33%,USD,1.99,3.98,[],[],2,0.00%,0.00,1.99,0.00
Enabled,CureMD,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,3,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Health Records,ADa - Services,Eligible,unknown,USD, --,Standard,231,8,3.46%,USD,1.91,15.24,[],[],8,0.00%,0.00,1.91,0.00
Enabled,Psychiatry Clinic Software,ADa - Services,Eligible,unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Adroit(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,30,3,10.00%,USD,1.78,5.35,[],[],3,0.00%,0.00,1.78,0.00
Total: Ad groups,,,,,,,,"10,203",630,6.17%,USD,2.26,1421.10,,,630,2.54%,16.00,2.26,88.82
Total: Account,,,,,,,,"39,307","2,533",6.44%,USD,0.66,1671.72,,,"2,450",1.42%,36.00,0.68,46.44
Total: Performance Max,,,,,,,,"29,104","1,903",6.54%,USD,0.13,250.62,,,"1,820",1.05%,20.00,0.14,12.53
Total: Search,,,,,,,,"10,203",630,6.17%,USD,2.26,1421.10,,,630,2.54%,16.00,2.26,88.82
