Ad group report
1 January 2026 - 26 March 2026
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,Target CPA,Ad group type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Brand inclusions,Locations of interest,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,AdvancedMD,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,SimplePractice,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Dermatology Clinic Software,ADa - Services,Eligible,unknown,USD, --,Standard,7,1,14.29%,USD,1.25,1.25,[],[],1,0.00%,0.00,1.25,0.00
Enabled,Noterro,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Healthcare Software,ADa - Services,Eligible,unknown,USD, --,Standard,754,65,8.62%,USD,1.61,104.53,[],[],65,26.15%,17.00,1.61,6.15
Enabled,Physiotherapy Practice Software,ADa - Services,Eligible,unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Azalea Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Clinic Management System,ADa - Services,Eligible,unknown,USD, --,Standard,10,0,0.00%,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Practice Fusion,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Innsof Medcare(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,PracticeBetter,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Oracle Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Medicine Software,ADa - Services,Eligible,unknown,USD, --,Standard,99,3,3.03%,USD,0.94,2.83,[],[],3,0.00%,0.00,0.94,0.00
Enabled,Adroit(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Clintee(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Medical Software,ADa - Services,Eligible,unknown,USD, --,Standard,932,55,5.90%,USD,1.33,73.28,[],[],55,1.82%,1.00,1.33,73.28
Enabled,Healthcare System,ADa - Services,Eligible,unknown,USD, --,Standard,"1,182",64,5.41%,USD,1.90,121.69,[],[],64,6.25%,4.00,1.90,30.42
Enabled,Epic Systems Corporation,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Hospital Software,ADa - Services,Eligible,unknown,USD, --,Standard,455,19,4.18%,USD,1.43,27.25,[],[],19,15.79%,3.00,1.43,9.08
Enabled,eClinicalWorks,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Patient Management Software,ADa - Services,Eligible,unknown,USD, --,Standard,122,4,3.28%,USD,1.59,6.35,[],[],4,25.00%,1.00,1.59,6.35
Enabled,CentralReach,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,CareCloud,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Tebra,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,NextGen Healthcare,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Care4 EMR(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Veradigm,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Praxis EMR,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Clinic Management Software,ADa - Services,Eligible,unknown,USD, --,Standard,"3,468",214,6.17%,USD,1.62,347.10,[],[],214,13.08%,28.00,1.62,12.40
Enabled,Clinicea,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,DrChrono,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,PrognoCIS (Bizmatics Inc.),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,ModMed,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Patient Management System,ADa - Services,Eligible,unknown,USD, --,Standard,40,5,12.50%,USD,1.76,8.81,[],[],5,60.00%,3.00,1.76,2.94
Enabled,WebPT,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Experity Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Ensora Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Zanda (formerly Power Diary),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Practice Better,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,DTech IT Solutions(UAE),ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,TherapyNotes,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Elation Health,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Software For Doctors,ADa - Services,Eligible,unknown,USD, --,Standard,178,4,2.25%,USD,1.32,5.26,[],[],4,0.00%,0.00,1.32,0.00
Enabled,Carepatron,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Athenahealth,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Enabled,Pabau,ADa - Competitors,Not eligible,campaign paused; unknown,USD, --,Standard,0,0, --,USD,0,0.00,[],[],0,0.00%,0.00,0,0.00
Total: Ad groups,,,,,,,,"11,168",616,5.52%,USD,1.71,1055.52,,,616,12.82%,79.00,1.71,13.36
Total: Account,,,,,,,,"74,527","7,298",9.79%,USD,0.29,2120.67,,,"6,785",6.55%,478.00,0.31,4.44
Total: Performance Max,,,,,,,,"63,359","6,682",10.55%,USD,0.16,1065.16,,,"6,169",5.97%,399.00,0.17,2.67
Total: Search,,,,,,,,"11,168",616,5.52%,USD,1.71,1055.52,,,616,12.82%,79.00,1.71,13.36
