Ad schedule day and hour report
1 October 2025 - 31 December 2025
Day of the week,Hour of the day,Campaign,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Monday,23,S | General | EU | FR,EUR,56.18,19,3,15.79%,0.36,1.07,0.00%,0.00,0.00
Saturday,1,S | Brand | NL,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Monday,14,S | Brand | NL,EUR,41.43,14,4,28.57%,0.15,0.58,25.00%,1.00,0.58
Sunday,1,S | Brand | NL,EUR,3.40,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Saturday,5,PMax | Rem | DE,EUR,9.29,114,4,3.51%,0.26,1.06,0.00%,0.00,0.00
Thursday,9,PMax | Rem | DE,EUR,8.31,470,11,2.34%,0.35,3.90,9.09%,1.00,3.90
Thursday,20,PMax | Rem | DE,EUR,12.52,715,22,3.08%,0.41,8.95,0.00%,0.00,0.00
Wednesday,15,PMax | Rem | DE,EUR,6.19,324,3,0.93%,0.67,2.01,0.00%,0.00,0.00
Friday,19,PMax | Rem | UK,EUR,45.53,240,12,5.00%,0.91,10.93,0.00%,0.00,0.00
Tuesday,21,PMax | Rem | UK,EUR,15.38,190,57,30.00%,0.05,2.92,0.00%,0.00,0.00
Monday,4,PMax | Rem | UK,EUR,0.66,"1,404",51,3.63%,0.02,0.92,0.00%,0.00,0.00
Monday,6,PMax | Rem | UK,EUR,3.35,363,11,3.03%,0.11,1.21,0.00%,0.00,0.00
Monday,7,PMax | Rem | UK,EUR,1.54,971,26,2.68%,0.06,1.50,0.00%,0.00,0.00
Monday,17,PMax | Rem | UK,EUR,35.90,245,11,4.49%,0.80,8.80,0.00%,0.00,0.00
Saturday,10,PMAX | shopping | EU | EN,EUR,0.30,"12,810",78,0.61%,0.05,3.83,0.00%,0.00,0.00
Saturday,18,PMAX | shopping | EU | EN,EUR,0.80,"1,585",8,0.50%,0.16,1.26,0.00%,0.00,0.00
Friday,8,PMAX | shopping | EU | EN,EUR,0.27,"15,280",47,0.31%,0.09,4.14,0.00%,0.00,0.00
Monday,11,PMAX | shopping | EU | EN,EUR,1.06,175,2,1.14%,0.09,0.18,0.00%,0.00,0.00
Monday,22,PMAX | shopping | EU | EN,EUR,0.19,"22,180",129,0.58%,0.03,4.29,0.00%,0.00,0.00
Monday,4,S | General | UK,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,2,S | Brand | EU | DE,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,1,S | Brand | EU | DE,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,6,Rem | NL,EUR,0.00,47,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,22,Rem | NL,EUR,0.00,97,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,2,S | General | EU | DE,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Monday,18,S | General | EU | DE,EUR,0.00,40,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,6,S | General | EU | FR,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,13,S | General | EU | FR,EUR,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,16,S | Brand | EU | DE,EUR,281.00,10,1,10.00%,2.81,2.81,89.62%,0.90,3.14
Tuesday,20,S | Brand | EU | DE,EUR,381.25,16,3,18.75%,2.03,6.10,0.00%,0.00,0.00
Saturday,12,PMax | Rem | NL | New,EUR,15.31,"1,704",79,4.64%,0.33,26.09,2.53%,2.00,13.04
Thursday,22,PMax | Rem | NL | New,EUR,21.98,"2,291",81,3.54%,0.62,50.36,2.47%,2.00,25.18
Wednesday,2,PMax | Rem | NL | New,EUR,9.28,226,11,4.87%,0.19,2.10,0.00%,0.00,0.00
Wednesday,6,PMax | Rem | NL | New,EUR,5.80,735,37,5.03%,0.12,4.26,0.00%,0.00,0.00
Sunday,0,PMax | Rem | NL | New,EUR,20.23,904,56,6.19%,0.33,18.29,3.57%,2.00,9.14
Sunday,7,PMax | Rem | NL | New,EUR,41.27,736,40,5.43%,0.76,30.37,2.50%,1.00,30.37
Wednesday,20,S | General | EU | EN,EUR,64.07,78,6,7.69%,0.83,5.00,33.33%,2.00,2.50
Sunday,0,S | General | EU | EN,EUR,14.60,53,2,3.77%,0.39,0.77,0.00%,0.00,0.00
Saturday,2,PMax | Rem | FR,EUR,1.25,128,11,8.59%,0.01,0.16,0.00%,0.00,0.00
Wednesday,7,PMax | Rem | FR,EUR,4.25,244,9,3.69%,0.12,1.04,0.00%,0.00,0.00
Sunday,11,PMax | Rem | FR,EUR,9.88,241,13,5.39%,0.18,2.38,0.00%,0.00,0.00
Wednesday,2,S | General | UK,EUR,39.38,16,1,6.25%,0.63,0.63,100.00%,1.00,0.63
Wednesday,13,S | General | UK,EUR,76.18,112,10,8.93%,0.85,8.53,0.00%,0.00,0.00
Wednesday,21,S | General | UK,EUR,69.90,104,13,12.50%,0.56,7.27,0.00%,0.00,0.00
Tuesday,11,S | General | UK,EUR,87.82,78,7,8.97%,0.98,6.85,0.00%,0.00,0.00
Monday,1,S | General | UK,EUR,43.94,33,2,6.06%,0.73,1.45,0.00%,0.00,0.00
Saturday,18,S | General | NL,EUR,104.78,201,18,8.96%,1.17,21.06,0.00%,0.00,0.00
Sunday,7,S | General | NL,EUR,69.08,110,7,6.36%,1.09,7.60,0.00%,0.00,0.00
Saturday,13,S | General | EU | DE,EUR,51.56,90,3,3.33%,1.55,4.64,0.00%,0.00,0.00
Saturday,21,S | General | EU | DE,EUR,45.99,53,3,5.66%,0.81,2.44,0.00%,0.00,0.00
Tuesday,14,S | General | EU | DE,EUR,116.72,58,3,5.17%,2.26,6.77,33.33%,1.00,6.77
Monday,0,S | General | EU | DE,EUR,93.33,9,2,22.22%,0.42,0.84,0.00%,0.00,0.00
Monday,15,S | General | EU | DE,EUR,91.47,40,3,7.50%,1.22,3.66,0.00%,0.00,0.00
Sunday,14,S | General | EU | DE,EUR,63.16,47,4,8.51%,0.74,2.97,0.00%,0.00,0.00
Sunday,17,S | General | EU | DE,EUR,78.36,48,3,6.25%,1.25,3.76,0.00%,0.00,0.00
Monday,9,S | Brand | UK,EUR,120.00,1,1,100.00%,0.12,0.12,0.00%,0.00,0.00
Friday,18,PMax | Rem | EU | EN,EUR,16.94,"1,016",79,7.78%,0.22,17.21,0.00%,0.00,0.00
Thursday,11,PMax | Rem | EU | EN,EUR,14.30,567,29,5.11%,0.28,8.11,0.00%,0.00,0.00
Thursday,22,PMax | Rem | EU | EN,EUR,6.43,"1,673",112,6.69%,0.10,10.75,0.00%,0.00,0.00
Wednesday,4,PMax | Rem | EU | EN,EUR,7.89,279,23,8.24%,0.10,2.20,0.00%,0.00,0.00
Wednesday,7,PMax | Rem | EU | EN,EUR,13.12,"1,130",94,8.32%,0.16,14.83,0.00%,0.00,0.00
Tuesday,11,PMax | Rem | EU | EN,EUR,7.87,961,52,5.41%,0.15,7.56,0.00%,0.00,0.00
Tuesday,17,PMax | Rem | EU | EN,EUR,12.64,"1,322",106,8.02%,0.16,16.72,0.00%,0.00,0.00
Friday,1,S | General | EU | FR,EUR,546.59,4,3,75.00%,0.73,2.19,0.00%,0.00,0.00
Saturday,13,S | Brand | NL,EUR,20.20,40,11,27.50%,0.07,0.81,9.09%,1.00,0.81
Friday,0,S | Brand | NL,EUR,4.29,7,3,42.86%,0.01,0.03,0.00%,0.00,0.00
Friday,3,S | Brand | NL,EUR,5.00,2,1,50.00%,0.01,0.01,0.00%,0.00,0.00
Wednesday,19,S | Brand | NL,EUR,151.67,18,7,38.89%,0.39,2.73,28.57%,2.00,1.37
Saturday,4,PMax | Rem | DE,EUR,5.34,76,1,1.32%,0.41,0.41,0.00%,0.00,0.00
Saturday,16,PMax | Rem | DE,EUR,2.98,513,7,1.36%,0.22,1.53,0.00%,0.00,0.00
Friday,8,PMax | Rem | DE,EUR,10.08,328,9,2.74%,0.37,3.31,0.00%,0.00,0.00
Wednesday,11,PMax | Rem | DE,EUR,13.44,370,14,3.78%,0.36,4.97,0.00%,0.00,0.00
Tuesday,20,PMax | Rem | DE,EUR,9.43,922,27,2.93%,0.32,8.70,0.00%,0.00,0.00
Sunday,17,PMax | Rem | DE,EUR,18.66,370,12,3.24%,0.58,6.90,0.00%,0.00,0.00
Saturday,3,PMax | Rem | UK,EUR,2.08,74,5,6.76%,0.03,0.15,0.00%,0.00,0.00
Saturday,5,PMax | Rem | UK,EUR,0.65,42,3,7.14%,0.01,0.03,0.00%,0.00,0.00
Friday,10,PMax | Rem | UK,EUR,17.08,257,14,5.45%,0.31,4.39,0.00%,0.00,0.00
Friday,15,PMax | Rem | UK,EUR,14.84,280,7,2.50%,0.59,4.16,0.00%,0.00,0.00
Friday,17,PMax | Rem | UK,EUR,16.67,223,7,3.14%,0.53,3.72,0.00%,0.00,0.00
Wednesday,10,PMax | Rem | UK,EUR,33.64,206,9,4.37%,0.77,6.93,11.11%,1.00,6.93
Wednesday,17,PMax | Rem | UK,EUR,17.86,274,24,8.76%,0.20,4.89,0.00%,0.00,0.00
Monday,8,PMax | Rem | UK,EUR,3.43,"1,760",40,2.27%,0.15,6.03,0.00%,0.00,0.00
Sunday,4,PMax | Rem | UK,EUR,2.02,483,9,1.86%,0.11,0.98,0.00%,0.00,0.00
Saturday,20,PMAX | shopping | EU | EN,EUR,0.68,78,1,1.28%,0.05,0.05,0.00%,0.00,0.00
Wednesday,17,PMAX | shopping | EU | EN,EUR,7.19,64,1,1.56%,0.46,0.46,0.00%,0.00,0.00
Tuesday,20,PMAX | shopping | EU | EN,EUR,10.25,390,6,1.54%,0.67,4.00,0.00%,0.00,0.00
Monday,10,PMAX | shopping | EU | EN,EUR,0.26,108,1,0.93%,0.03,0.03,0.00%,0.00,0.00
Wednesday,18,S | Brand | EU | DE,EUR,0.00,15,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,1,S | General | EU | EN,EUR,0.00,17,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,20,Rem | EU | DE,EUR,0.00,18,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,21,Rem | NL,EUR,0.00,66,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,0,Rem | NL,EUR,0.00,44,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,9,Rem | NL,EUR,0.00,106,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,5,S | General | EU | DE,EUR,0.00,9,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,15,S | Brand | EU | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,2,S | General | EU | FR,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,12,Rem | EU | FR,EUR,0.00,10,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,7,S | Brand | EU | DE,EUR,894.17,12,4,33.33%,2.68,10.73,0.00%,0.00,0.00
Friday,19,S | Brand | EU | DE,EUR,263.54,8,1,12.50%,2.11,2.11,5.19%,0.05,40.64
Wednesday,6,S | Brand | EU | DE,EUR,1.25,8,1,12.50%,0.01,0.01,100.00%,1.00,0.01
Wednesday,8,S | Brand | EU | DE,EUR,16.43,14,2,14.29%,0.12,0.23,50.00%,1.00,0.23
Tuesday,1,S | Brand | EU | DE,EUR,190.00,2,1,50.00%,0.38,0.38,0.00%,0.00,0.00
Sunday,13,S | Brand | EU | DE,EUR,1543.13,16,3,18.75%,8.23,24.69,0.00%,0.00,0.00
Saturday,2,PMax | Rem | NL | New,EUR,10.39,165,5,3.03%,0.34,1.71,0.00%,0.00,0.00
Friday,17,PMax | Rem | NL | New,EUR,10.76,"1,341",58,4.33%,0.25,14.44,5.17%,3.00,4.81
Thursday,9,PMax | Rem | NL | New,EUR,15.48,"1,165",58,4.98%,0.31,18.04,3.45%,2.00,9.02
Thursday,10,PMax | Rem | NL | New,EUR,8.36,"1,335",50,3.75%,0.22,11.16,0.00%,0.00,0.00
Monday,23,PMax | Rem | NL | New,EUR,9.50,"1,442",68,4.72%,0.20,13.70,2.94%,2.00,6.85
Saturday,5,S | General | EU | EN,EUR,21.11,27,2,7.41%,0.29,0.57,0.00%,0.00,0.00
Saturday,19,S | General | EU | EN,EUR,37.33,97,7,7.22%,0.52,3.62,0.00%,0.00,0.00
Friday,10,S | General | EU | EN,EUR,142.74,84,15,17.86%,0.80,11.99,0.00%,0.00,0.00
Friday,18,S | General | EU | EN,EUR,48.39,79,6,7.59%,0.64,3.82,0.00%,0.00,0.00
Thursday,4,S | General | EU | EN,EUR,94.00,10,2,20.00%,0.47,0.94,0.00%,0.00,0.00
Monday,21,S | General | EU | EN,EUR,42.98,91,10,10.99%,0.39,3.91,0.00%,0.00,0.00
Sunday,2,Rem | EU | EN,EUR,3.06,4,2,50.00%,0.01,0.01,0.00%,0.00,0.00
Sunday,15,Rem | EU | EN,EUR,6.87,164,1,0.61%,1.13,1.13,0.00%,0.00,0.00
Friday,6,Rem | EU | DE,EUR,23.77,27,1,3.70%,0.64,0.64,0.00%,0.00,0.00
Monday,10,Rem | EU | DE,EUR,97.39,63,1,1.59%,6.14,6.14,0.00%,0.00,0.00
Wednesday,8,S | General | UK,EUR,118.20,94,8,8.51%,1.39,11.11,0.00%,0.00,0.00
Friday,11,S | General | NL,EUR,64.32,205,11,5.37%,1.20,13.19,0.00%,0.00,0.00
Friday,16,S | General | NL,EUR,115.62,162,16,9.88%,1.17,18.73,0.00%,0.00,0.00
Tuesday,22,S | General | NL,EUR,96.88,244,22,9.02%,1.07,23.64,15.91%,3.50,6.75
Monday,15,S | General | NL,EUR,140.82,223,26,11.66%,1.21,31.40,0.00%,0.00,0.00
Sunday,9,S | General | NL,EUR,118.57,255,24,9.41%,1.26,30.23,0.00%,0.00,0.00
Saturday,16,S | General | EU | DE,EUR,39.76,52,2,3.85%,1.03,2.07,0.00%,0.00,0.00
Friday,9,S | General | EU | DE,EUR,55.38,91,4,4.40%,1.26,5.04,0.00%,0.00,0.00
Friday,12,S | General | EU | DE,EUR,31.43,70,3,4.29%,0.73,2.20,0.00%,0.00,0.00
Thursday,18,S | General | EU | DE,EUR,50.87,23,1,4.35%,1.17,1.17,0.00%,0.00,0.00
Thursday,22,S | General | EU | DE,EUR,29.64,28,1,3.57%,0.83,0.83,0.00%,0.00,0.00
Tuesday,11,S | General | EU | DE,EUR,149.32,44,7,15.91%,0.94,6.57,0.00%,0.00,0.00
Tuesday,19,S | General | EU | DE,EUR,65.68,30,2,6.67%,0.99,1.97,0.00%,0.00,0.00
Sunday,9,S | General | EU | DE,EUR,102.86,82,4,4.88%,2.11,8.43,0.00%,0.00,0.00
Sunday,10,S | General | EU | DE,EUR,84.55,71,3,4.23%,2.00,6.00,0.00%,0.00,0.00
Wednesday,21,S | Brand | EU | EN,EUR,3.33,3,1,33.33%,0.01,0.01,0.00%,0.00,0.00
Saturday,3,PMax | Rem | EU | EN,EUR,6.27,131,10,7.63%,0.08,0.82,0.00%,0.00,0.00
Saturday,10,PMax | Rem | EU | EN,EUR,16.17,925,62,6.70%,0.24,14.96,0.00%,0.00,0.00
Friday,5,PMax | Rem | EU | EN,EUR,19.44,299,30,10.03%,0.19,5.81,0.00%,0.00,0.00
Thursday,6,PMax | Rem | EU | EN,EUR,2.87,523,33,6.31%,0.05,1.50,0.00%,0.00,0.00
Wednesday,23,PMax | Rem | EU | EN,EUR,9.35,804,57,7.09%,0.13,7.52,0.00%,0.00,0.00
Monday,8,PMax | Rem | EU | EN,EUR,3.99,950,59,6.21%,0.06,3.79,0.00%,0.00,0.00
Sunday,9,PMax | Rem | EU | EN,EUR,29.54,"1,264",87,6.88%,0.43,37.34,1.15%,1.00,37.34
Sunday,10,PMax | Rem | EU | EN,EUR,9.90,989,62,6.27%,0.16,9.80,0.00%,0.00,0.00
Sunday,14,PMax | Rem | EU | EN,EUR,25.72,915,54,5.90%,0.44,23.54,0.00%,0.00,0.00
Saturday,14,S | General | EU | FR,EUR,88.71,70,6,8.57%,1.04,6.21,0.00%,0.00,0.00
Tuesday,21,S | General | EU | FR,EUR,69.87,45,5,11.11%,0.63,3.14,0.00%,0.00,0.00
Friday,18,S | Brand | NL,EUR,25.65,19,7,36.84%,0.07,0.49,0.00%,0.00,0.00
Thursday,6,S | Brand | NL,EUR,11.00,10,4,40.00%,0.03,0.11,0.00%,0.00,0.00
Tuesday,8,S | Brand | NL,EUR,18.95,33,9,27.27%,0.07,0.63,11.11%,1.00,0.63
Tuesday,19,S | Brand | NL,EUR,123.18,22,9,40.91%,0.30,2.71,0.00%,0.00,0.00
Tuesday,23,S | Brand | NL,EUR,15.00,4,2,50.00%,0.03,0.06,0.00%,0.00,0.00
Wednesday,0,PMax | Rem | DE,EUR,31.97,149,14,9.40%,0.34,4.76,0.00%,0.00,0.00
Wednesday,10,PMax | Rem | DE,EUR,9.88,387,15,3.88%,0.25,3.82,0.00%,0.00,0.00
Wednesday,23,PMax | Rem | DE,EUR,2.92,"2,026",90,4.44%,0.07,5.92,0.00%,0.00,0.00
Tuesday,15,PMax | Rem | DE,EUR,3.37,491,7,1.43%,0.24,1.65,0.00%,0.00,0.00
Monday,5,PMax | Rem | DE,EUR,11.64,83,3,3.61%,0.32,0.97,0.00%,0.00,0.00
Sunday,18,PMax | Rem | DE,EUR,15.54,351,14,3.99%,0.39,5.45,7.14%,1.00,5.45
Thursday,19,PMax | Rem | UK,EUR,6.08,"1,126",12,1.07%,0.57,6.85,0.00%,0.00,0.00
Wednesday,19,PMax | Rem | UK,EUR,15.38,331,12,3.63%,0.42,5.09,0.00%,0.00,0.00
Monday,2,PMax | Rem | UK,EUR,1.32,"1,187",66,5.56%,0.02,1.56,0.00%,0.00,0.00
Sunday,15,PMax | Rem | UK,EUR,10.37,676,16,2.37%,0.44,7.01,0.00%,0.00,0.00
Saturday,4,PMAX | shopping | EU | EN,EUR,0.17,"3,152",8,0.25%,0.07,0.54,0.00%,0.00,0.00
Saturday,11,PMAX | shopping | EU | EN,EUR,0.19,"7,915",29,0.37%,0.05,1.53,0.00%,0.00,0.00
Thursday,5,PMAX | shopping | EU | EN,EUR,0.11,647,3,0.46%,0.02,0.07,0.00%,0.00,0.00
Tuesday,18,S | Brand | EU | DE,EUR,0.00,16,0,0.00%,0,0.00,0.00%,0.00,0.00
Sunday,1,S | Brand | EU | DE,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,18,Rem | EU | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Friday,1,Rem | NL,EUR,0.00,19,0,0.00%,0,0.00,0.00%,0.00,0.00
Wednesday,16,Rem | NL,EUR,0.00,66,0,0.00%,0,0.00,0.00%,0.00,0.00
Tuesday,8,Rem | NL,EUR,0.00,45,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,1,S | Brand | EU | EN,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Thursday,9,S | Brand | EU | EN,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Saturday,3,S | General | NL,EUR,31.90,21,1,4.76%,0.67,0.67,100.00%,1.00,0.67
Saturday,21,S | General | NL,EUR,67.76,248,16,6.45%,1.05,16.81,6.25%,1.00,16.81
Friday,8,S | General | NL,EUR,93.54,137,12,8.76%,1.07,12.81,0.00%,0.00,0.00
Thursday,9,S | General | NL,EUR,48.35,171,8,4.68%,1.03,8.27,12.50%,1.00,8.27
Tuesday,16,S | General | NL,EUR,97.53,158,13,8.23%,1.19,15.41,7.69%,1.00,15.41
Sunday,19,S | General | NL,EUR,104.08,363,28,7.71%,1.35,37.78,0.00%,0.00,0.00
Saturday,11,S | General | EU | DE,EUR,77.19,85,3,3.53%,2.19,6.56,0.00%,0.00,0.00
Wednesday,23,S | General | EU | DE,EUR,20.42,24,1,4.17%,0.49,0.49,0.00%,0.00,0.00
Tuesday,9,S | General | EU | DE,EUR,45.74,61,1,1.64%,2.79,2.79,0.00%,0.00,0.00
Tuesday,12,S | General | EU | DE,EUR,74.78,69,3,4.35%,1.72,5.16,0.00%,0.00,0.00
Tuesday,20,S | General | EU | DE,EUR,16.90,29,1,3.45%,0.49,0.49,0.00%,0.00,0.00
Saturday,0,PMax | Rem | EU | EN,EUR,17.16,602,50,8.31%,0.21,10.33,0.00%,0.00,0.00
Friday,7,PMax | Rem | EU | EN,EUR,6.99,699,83,11.87%,0.06,4.88,0.00%,0.00,0.00
Friday,22,PMax | Rem | EU | EN,EUR,6.78,"1,614",94,5.82%,0.12,10.94,0.00%,0.00,0.00
Thursday,12,PMax | Rem | EU | EN,EUR,22.93,558,48,8.60%,0.27,12.79,2.08%,1.00,12.79
Sunday,17,PMax | Rem | EU | EN,EUR,4.77,"1,921",92,4.79%,0.10,9.16,0.00%,0.00,0.00
Thursday,11,S | General | EU | FR,EUR,60.00,34,1,2.94%,2.04,2.04,0.00%,0.00,0.00
Sunday,21,S | Brand | EU | FR,EUR,10.00,2,1,50.00%,0.02,0.02,0.00%,0.00,0.00
Saturday,11,PMax | Rem | NL | New,EUR,11.73,"1,523",75,4.92%,0.24,17.86,1.33%,1.00,17.86
Friday,23,PMax | Rem | NL | New,EUR,11.85,"1,358",34,2.50%,0.47,16.10,0.00%,0.00,0.00
Thursday,11,PMax | Rem | NL | New,EUR,5.91,"1,528",65,4.25%,0.14,9.03,0.00%,0.00,0.00
Tuesday,16,PMax | Rem | NL | New,EUR,10.77,"2,775",122,4.40%,0.25,29.89,0.00%,0.00,0.00
Monday,9,PMax | Rem | NL | New,EUR,11.93,"2,080",104,5.00%,0.24,24.81,1.44%,1.50,16.54
Monday,19,PMax | Rem | NL | New,EUR,12.72,"2,771",127,4.58%,0.28,35.24,1.57%,2.00,17.62
Tuesday,22,S | General | EU | EN,EUR,25.82,78,4,5.13%,0.50,2.01,25.00%,1.00,2.01
Friday,22,Rem | EU | EN,EUR,23.49,25,2,8.00%,0.29,0.59,0.00%,0.00,0.00
Sunday,10,Rem | EU | EN,EUR,0.00,104,1,0.96%,0.00,0.00,0.00%,0.00,0.00
Thursday,16,Rem | NL,EUR,10.91,59,1,1.69%,0.64,0.64,0.00%,0.00,0.00
Tuesday,13,Rem | NL,EUR,3.96,121,2,1.65%,0.24,0.48,0.00%,0.00,0.00
Friday,6,PMax | Rem | FR,EUR,9.10,200,19,9.50%,0.10,1.82,0.00%,0.00,0.00
Thursday,0,PMax | Rem | FR,EUR,15.08,138,7,5.07%,0.30,2.08,0.00%,0.00,0.00
