Gender report
1 October 2025 - 31 December 2025
Demographic status,Gender,Campaign,Ad group,Status,Bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Removed,Male,S | General | NL,competitor swedish stockings,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty 50 dernier,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty bijenkorf,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty anti ladder zwart,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty ladder resist,Campaign paused, --,EUR,20.70,71,2,2.82%,0.74,1.47,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor wolford,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Remarketing,Visitors 7 days,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor sheertex,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty 50 dernier,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,panty anti ladder 30 den,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Brand | EU | DE,Brand,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty ladder resist,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Brand | EU | DE,Brand,Campaign paused, --,EUR,532.36,642,109,16.98%,3.14,341.77,12.84%,14.00,24.41
Enabled,Unknown,S | General | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor hunkemoller,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,panty anti ladder best,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor falke,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,competitor oroblu,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | NL,panty anti ladder 30 den,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,26.41,951,26,2.73%,0.97,25.12,0.00%,0.00,0.00
Enabled,Unknown,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,ADa_Brand_NL,Phrase,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,33.05,"2,040",82,4.02%,0.82,67.42,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | DE,14 days add cart,Campaign paused, --,EUR,51.98,72,2,2.78%,1.87,3.74,0.00%,0.00,0.00
Enabled,Male,ADa_Brand_NL,Exact,Eligible, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | EU | DE,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Ehsan - Generic Search_Dutch_NL/BE,Broad,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Ehsan - Generic Search_Dutch_NL/BE,Exact,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Ehsan - Generic Search_Dutch_NL/BE,Phrase - Competitor,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,DGen | EN,All Products,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,DGen | EN,All Products,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | NL,customer list,Campaign paused, --,EUR,0.00,60,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | NL,14 days add cart,Campaign paused, --,EUR,10.33,"3,127",40,1.28%,0.81,32.31,0.00%,0.00,0.00
Enabled,Male,Rem | NL,customer list,Campaign paused, --,EUR,0.00,7,0,0.00%,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,Rem | NL,14 days add cart,Campaign paused, --,EUR,14.71,78,1,1.28%,1.15,1.15,0.00%,0.00,0.00
Enabled,Female,Rem | NL,customer list,Campaign paused, --,EUR,4.57,351,2,0.57%,0.80,1.60,0.00%,0.00,0.00
Enabled,Female,Rem | NL,14 days add cart,Campaign paused, --,EUR,6.80,"12,047",90,0.75%,0.91,81.89,2.22%,2.00,40.94
Removed,Male,S | Brand | EU | EN,Brand,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,154.69,20,7,35.00%,0.44,3.09,0.00%,0.00,0.00
Enabled,Unknown,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,8.13,16,4,25.00%,0.03,0.13,0.00%,0.00,0.00
Removed,Male,S | Brand | EU | FR,Brand,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Brand | EU | EN,Brand,Campaign paused, --,EUR,87.85,34,11,32.35%,0.27,2.99,0.00%,0.00,0.00
Enabled,Female,S | Brand | EU | FR,Brand,Campaign paused, --,EUR,97.50,4,3,75.00%,0.13,0.39,0.00%,0.00,0.00
Enabled,Female,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,10.42,654,32,4.89%,0.21,6.82,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | EN,tights anti ladder,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,17.69,639,24,3.76%,0.47,11.31,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights anti ladder,Campaign paused, --,EUR,32.17,"1,822",106,5.82%,0.55,58.62,0.94%,1.00,58.62
Enabled,Unknown,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,0.00,22,0,0.00%,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor marcmarcs,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | EN,competitors,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor anni rolfi,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,66.55,"1,562",141,9.03%,0.74,103.96,4.61%,6.50,15.99
Enabled,Unknown,S | Competitors | NL,competitor hema,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor calzedonia,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor heist studios,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor swedish stockings,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor wolford,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor heist studios,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor snag tights,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,38.27,"1,689",117,6.93%,0.55,64.65,1.71%,2.00,32.32
Enabled,Unknown,S | Competitors | NL,competitor marcmarcs,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor falke,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor snag tights,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor hedoïne,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor blom kousen,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | EU | EN,14 days add cart,Campaign paused, --,EUR,23.77,"1,642",37,2.25%,1.05,39.03,0.00%,0.00,0.00
Enabled,Female,S | General | EU | EN,tights 80 den,Campaign paused, --,EUR,24.93,650,31,4.77%,0.52,16.21,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor blom kousen,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor kunert,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | EN,tights black,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor kruidvat,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor anni rolfi,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor zeeman,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor sheertex,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights does not break,Campaign paused, --,EUR,41.36,"1,212",102,8.42%,0.49,50.13,0.98%,1.00,50.13
Enabled,Unknown,S | Competitors | NL,competitor swedish stockings,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Male,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor hunkemoller,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | General | EU | EN,competitors,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights black,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | General | EU | EN,tights 80 den,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | General | EU | EN,tights ladder resist,Campaign paused, --,EUR,30.15,"1,580",85,5.38%,0.56,47.64,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor kunert,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor hedoïne,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,Rem | EU | EN,customer list,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor oroblu,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor calzedonia,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Unknown,S | Competitors | NL,competitor falke,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Removed,Male,S | Competitors | NL,competitor wolford,Excluded from ad group, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,Female,S | Competitors | NL,competitor kruidvat,Campaign paused, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
