Location report
1 October 2025 - 31 December 2025
Location,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Greece,Rem | EU | DE, --,EUR,0.00,13,0,0.00%,0,0.00,0.00%,0.00,0.00
Belgium,Rem | NL, --,EUR,10.06,"3,364",48,1.43%,0.71,33.86,0.00%,0.00,0.00
Netherlands,Rem | NL, --,EUR,6.75,"12,306",85,0.69%,0.98,83.09,2.35%,2.00,41.55
New Zealand,PMax | Rem | AU-NZ | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Australia,PMax | Rem | AU-NZ | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Sh | General | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,S | General | EU | EN, --,EUR,13.59,266,10,3.76%,0.36,3.61,0.00%,0.00,0.00
Greece,S | General | EU | EN, --,EUR,16.54,456,21,4.61%,0.36,7.54,0.00%,0.00,0.00
Latvia,S | General | EU | EN, --,EUR,37.17,739,63,8.53%,0.44,27.47,0.00%,0.00,0.00
Slovakia,S | General | EU | EN, --,EUR,7.45,172,6,3.49%,0.21,1.28,16.67%,1.00,1.28
Romania,S | General | EU | EN, --,EUR,41.43,516,25,4.84%,0.86,21.38,0.00%,0.00,0.00
Portugal,S | General | EU | EN, --,EUR,47.03,369,24,6.50%,0.72,17.35,8.33%,2.00,8.68
France,S | General | EU | EN, --,EUR,58.06,553,40,7.23%,0.80,32.11,5.00%,2.00,16.05
Bulgaria,S | General | EU | EN, --,EUR,19.69,456,21,4.61%,0.43,8.98,4.76%,1.00,8.98
Spain,S | General | EU | EN, --,EUR,62.16,541,48,8.87%,0.70,33.63,2.08%,1.00,33.63
Finland,S | General | EU | EN, --,EUR,45.07,983,67,6.82%,0.66,44.31,1.49%,1.00,44.31
Kosovo,S | General | EU | EN, --,EUR,58.06,31,1,3.23%,1.80,1.80,0.00%,0.00,0.00
Croatia,S | General | EU | EN, --,EUR,24.10,500,31,6.20%,0.39,12.05,0.00%,0.00,0.00
Sweden,S | General | EU | EN, --,EUR,70.81,456,40,8.77%,0.81,32.29,7.50%,3.00,10.76
Hungary,S | General | EU | EN, --,EUR,25.22,467,23,4.93%,0.51,11.78,0.00%,0.00,0.00
Moldova,S | General | EU | EN, --,EUR,28.99,38,2,5.26%,0.55,1.10,0.00%,0.00,0.00
Lithuania,S | General | EU | EN, --,EUR,29.94,702,63,8.97%,0.33,21.02,0.00%,0.00,0.00
Bosnia and Herzegovina,S | General | EU | EN, --,EUR,54.43,99,5,5.05%,1.08,5.39,0.00%,0.00,0.00
Denmark,S | General | EU | EN, --,EUR,60.62,383,29,7.57%,0.80,23.22,3.45%,1.00,23.22
Albania,S | General | EU | EN, --,EUR,9.11,145,4,2.76%,0.33,1.32,0.00%,0.00,0.00
Estonia,S | General | EU | EN, --,EUR,39.20,918,62,6.75%,0.58,35.98,0.00%,0.00,0.00
Poland,S | General | EU | EN, --,EUR,39.35,487,31,6.37%,0.62,19.16,0.00%,0.00,0.00
Czechia,S | General | EU | EN, --,EUR,39.07,295,18,6.10%,0.64,11.53,0.00%,0.00,0.00
North Macedonia,S | General | EU | EN, --,EUR,0.00,61,0,0.00%,0,0.00,0.00%,0.00,0.00
Slovenia,S | General | EU | EN, --,EUR,26.74,467,30,6.42%,0.42,12.49,0.00%,0.00,0.00
Italy,S | General | EU | EN, --,EUR,57.13,781,74,9.48%,0.60,44.62,2.70%,2.00,22.31
Montenegro,S | General | EU | EN, --,EUR,31.79,81,5,6.17%,0.52,2.58,0.00%,0.00,0.00
Norway,S | General | EU | EN, --,EUR,71.93,343,32,9.33%,0.77,24.67,6.25%,2.00,12.34
Netherlands,S | Competitors | NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
United Kingdom,S | Brand | UK, --,EUR,374.24,33,11,33.33%,1.12,12.35,0.00%,0.00,0.00
Netherlands,ADa_Brand_NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,ADa_Pants_NL, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,Remarketing, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,Rem | EU | EN, --,EUR,1.08,132,1,0.76%,0.14,0.14,0.00%,0.00,0.00
Latvia,Rem | EU | EN, --,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Finland,Rem | EU | EN, --,EUR,0.00,8,0,0.00%,0,0.00,0.00%,0.00,0.00
France,Rem | EU | EN, --,EUR,14.15,537,7,1.30%,1.09,7.60,0.00%,0.00,0.00
Portugal,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Albania,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,Rem | EU | EN, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Estonia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Kosovo,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,Rem | EU | EN, --,EUR,0.00,22,0,0.00%,0,0.00,0.00%,0.00,0.00
Denmark,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,Rem | EU | EN, --,EUR,24.30,177,9,5.08%,0.48,4.30,0.00%,0.00,0.00
Bosnia and Herzegovina,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,Rem | EU | EN, --,EUR,1.43,270,14,5.19%,0.03,0.39,0.00%,0.00,0.00
Norway,Rem | EU | EN, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Bulgaria,Rem | EU | EN, --,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Croatia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,Rem | EU | EN, --,EUR,3.14,29,2,6.90%,0.05,0.09,0.00%,0.00,0.00
Poland,Rem | EU | EN, --,EUR,51.32,474,28,5.91%,0.87,24.33,0.00%,0.00,0.00
Spain,Rem | EU | EN, --,EUR,15.78,570,7,1.23%,1.28,8.99,0.00%,0.00,0.00
Montenegro,Rem | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,Rem | EU | EN, --,EUR,0.00,31,0,0.00%,0,0.00,0.00%,0.00,0.00
Sweden,Rem | EU | EN, --,EUR,0.22,58,1,1.72%,0.01,0.01,0.00%,0.00,0.00
Netherlands,Sh | General | NL | old, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,S | General | EU | DE, --,EUR,34.47,33,3,9.09%,0.38,1.14,0.00%,0.00,0.00
Croatia,S | General | EU | DE, --,EUR,30.11,29,3,10.34%,0.29,0.87,0.00%,0.00,0.00
Finland,S | General | EU | DE, --,EUR,550.00,1,1,100.00%,0.55,0.55,0.00%,0.00,0.00
Spain,S | General | EU | DE, --,EUR,63.90,41,1,2.44%,2.62,2.62,100.00%,1.00,2.62
Latvia,S | General | EU | DE, --,EUR,26.59,14,2,14.29%,0.19,0.37,0.00%,0.00,0.00
Sweden,S | General | EU | DE, --,EUR,84.03,15,2,13.33%,0.63,1.26,0.00%,0.00,0.00
Serbia,S | General | EU | DE, --,EUR,49.46,23,1,4.35%,1.14,1.14,0.00%,0.00,0.00
France,S | General | EU | DE, --,EUR,52.96,27,1,3.70%,1.43,1.43,0.00%,0.00,0.00
North Macedonia,S | General | EU | DE, --,EUR,0.00,9,0,0.00%,0,0.00,0.00%,0.00,0.00
Montenegro,S | General | EU | DE, --,EUR,300.00,1,1,100.00%,0.30,0.30,0.00%,0.00,0.00
Denmark,S | General | EU | DE, --,EUR,0.00,12,0,0.00%,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | General | EU | DE, --,EUR,0.00,21,0,0.00%,0,0.00,0.00%,0.00,0.00
Norway,S | General | EU | DE, --,EUR,0.00,4,0,0.00%,0,0.00,0.00%,0.00,0.00
Greece,S | General | EU | DE, --,EUR,37.96,37,2,5.41%,0.70,1.40,0.00%,0.00,0.00
Czechia,S | General | EU | DE, --,EUR,45.81,43,1,2.33%,1.97,1.97,0.00%,0.00,0.00
Albania,S | General | EU | DE, --,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Hungary,S | General | EU | DE, --,EUR,95.17,126,12,9.52%,1.00,11.99,0.00%,0.00,0.00
Bulgaria,S | General | EU | DE, --,EUR,127.95,19,2,10.53%,1.22,2.43,0.00%,0.00,0.00
Estonia,S | General | EU | DE, --,EUR,210.00,5,1,20.00%,1.05,1.05,0.00%,0.00,0.00
Germany,S | General | EU | DE, --,EUR,57.98,"3,906",195,4.99%,1.16,226.48,1.03%,2.00,113.24
Switzerland,S | General | EU | DE, --,EUR,95.54,684,51,7.46%,1.28,65.35,1.96%,1.00,65.35
Italy,S | General | EU | DE, --,EUR,143.41,99,12,12.12%,1.18,14.20,0.00%,0.00,0.00
Romania,S | General | EU | DE, --,EUR,0.00,14,0,0.00%,0,0.00,0.00%,0.00,0.00
Moldova,S | General | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,S | General | EU | DE, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Lithuania,S | General | EU | DE, --,EUR,118.00,15,1,6.67%,1.77,1.77,0.00%,0.00,0.00
Portugal,S | General | EU | DE, --,EUR,0.00,6,0,0.00%,0,0.00,0.00%,0.00,0.00
Slovenia,S | General | EU | DE, --,EUR,90.00,12,1,8.33%,1.08,1.08,0.00%,0.00,0.00
Austria,S | General | EU | DE, --,EUR,110.60,"1,799",78,4.34%,2.55,198.98,3.85%,3.00,66.33
Kosovo,S | General | EU | DE, --,EUR,149.92,9,1,11.11%,1.35,1.35,0.00%,0.00,0.00
Poland,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Serbia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,S | Brand | EU | EN, --,EUR,900.00,2,2,100.00%,0.90,1.80,0.00%,0.00,0.00
Denmark,S | Brand | EU | EN, --,EUR,4.00,5,2,40.00%,0.01,0.02,0.00%,0.00,0.00
Finland,S | Brand | EU | EN, --,EUR,27.14,7,2,28.57%,0.10,0.19,0.00%,0.00,0.00
Estonia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Latvia,S | Brand | EU | EN, --,EUR,0.00,5,0,0.00%,0,0.00,0.00%,0.00,0.00
Albania,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,S | Brand | EU | EN, --,EUR,6.67,3,2,66.67%,0.01,0.02,0.00%,0.00,0.00
Moldova,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Romania,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,S | Brand | EU | EN, --,EUR,590.00,1,1,100.00%,0.59,0.59,0.00%,0.00,0.00
Spain,S | Brand | EU | EN, --,EUR,1.88,16,3,18.75%,0.01,0.03,0.00%,0.00,0.00
Croatia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bulgaria,S | Brand | EU | EN, --,EUR,16.67,3,2,66.67%,0.03,0.05,0.00%,0.00,0.00
Lithuania,S | Brand | EU | EN, --,EUR,156.67,3,1,33.33%,0.47,0.47,0.00%,0.00,0.00
Kosovo,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,S | Brand | EU | EN, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Slovenia,S | Brand | EU | EN, --,EUR,540.00,2,1,50.00%,1.08,1.08,0.00%,0.00,0.00
Hungary,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | Brand | EU | EN, --,EUR,364.76,5,1,20.00%,1.82,1.82,0.00%,0.00,0.00
Italy,S | Brand | EU | EN, --,EUR,6.80,1,1,100.00%,0.01,0.01,0.00%,0.00,0.00
Czechia,S | Brand | EU | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Belgium,PMax | Rem | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Switzerland,PMax | Rem | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Germany,PMax | Rem | DE, --,EUR,9.79,"80,085","2,610",3.26%,0.30,783.79,0.34%,9.00,87.09
Belgium,PMax | Rem | FR, --,EUR,11.23,"12,482",784,6.28%,0.18,140.20,0.26%,2.00,70.10
Switzerland,PMax | Rem | FR, --,EUR,11.12,"3,841",160,4.17%,0.27,42.71,0.00%,0.00,0.00
France,PMax | Rem | FR, --,EUR,5.48,"36,132","1,600",4.43%,0.12,197.83,0.06%,1.00,197.83
Switzerland,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovenia,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Luxembourg,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Austria,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
France,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Belgium,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Finland,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Germany,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Netherlands,DGen | EN,All Products,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
United States,PMax | Rem | US | EN, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,S | Brand | EU | DE, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Bulgaria,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | Brand | EU | DE, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Slovenia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Lithuania,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Denmark,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Bosnia and Herzegovina,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Greece,S | Brand | EU | DE, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Albania,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Portugal,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
North Macedonia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Moldova,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Italy,S | Brand | EU | DE, --,EUR,177.59,29,5,17.24%,1.03,5.15,0.00%,0.00,0.00
France,S | Brand | EU | DE, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Serbia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Estonia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Germany,S | Brand | EU | DE, --,EUR,537.46,"1,149",110,9.57%,5.61,617.55,10.91%,12.00,51.46
Latvia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Czechia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Slovakia,S | Brand | EU | DE, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Switzerland,S | Brand | EU | DE, --,EUR,198.95,254,53,20.87%,0.95,50.53,20.75%,11.00,4.59
Finland,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Norway,S | Brand | EU | DE, --,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Austria,S | Brand | EU | DE, --,EUR,272.12,228,37,16.23%,1.68,62.04,5.41%,2.00,31.02
Romania,S | Brand | EU | DE, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Croatia,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Montenegro,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Hungary,S | Brand | EU | DE, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Kosovo,S | Brand | EU | DE, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Spain,S | Brand | EU | DE, --,EUR,0.00,2,0,0.00%,0,0.00,0.00%,0.00,0.00
Netherlands,PMax | Rem | NL | New, --,EUR,12.54,"254,749","12,240",4.80%,0.26,3193.97,1.03%,125.68,25.41
Romania,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Poland,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Sweden,S | Brand | EU | FR, --,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
