Device report
1 January 2026 - 26 March 2026
Device,Level,Campaign,Ad group,Bid adj.,Ad group bid adj.,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Mobile Phones,Campaign,ADa_Brand_NL, --, --,None,EUR,5.01,68,12,17.65%,0.03,0.34,33.33%,4.00,0.09
Computers,Campaign,ADa_Brand_NL, --, --,None,EUR,375.00,8,5,62.50%,0.60,3.00,20.00%,1.00,3.00
Tablets,Campaign,ADa_Brand_NL, --, --,None,EUR,20.00,9,4,44.44%,0.05,0.18,0.00%,0.00,0.00
Tablets,Campaign,S | Brand | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,S | Brand | EU | FR, --, --,None,EUR,487.50,4,2,50.00%,0.98,1.95,0.00%,0.00,0.00
Computers,Campaign,S | Brand | EU | FR, --, --,None,EUR,10.00,1,1,100.00%,0.01,0.01,0.00%,0.00,0.00
TV screens,Campaign,Rem | EU | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Rem | EU | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Rem | EU | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Rem | EU | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,ADa_Panty_NL, --, --,None,EUR,13.35,"23,633","1,441",6.10%,0.22,315.51,0.28%,4.00,78.88
TV screens,Campaign,PMax | Rem | EU | EN, --, --,None,EUR,2.83,207,95,45.89%,0.01,0.59,0.00%,0.00,0.00
TV screens,Campaign,ADa_Panty_NL, --,-100%,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | EU | EN, --, --,None,EUR,11.78,"1,194",122,10.22%,0.12,14.07,0.00%,0.00,0.00
Tablets,Campaign,ADa_Panty_NL, --,-100%,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | EU | EN, --, --,None,EUR,11.61,"35,866","2,632",7.34%,0.16,416.37,0.19%,5.00,83.27
Computers,Campaign,PMax | Rem | EU | EN, --, --,None,EUR,3.70,"39,309","1,169",2.97%,0.12,145.46,0.08%,0.88,165.00
Computers,Campaign,ADa_Panty_NL, --, --,None,EUR,18.03,"1,014",14,1.38%,1.31,18.28,0.00%,0.00,0.00
Computers,Campaign,S | General | EU | EN, --, --,None,EUR,61.31,"2,574",126,4.90%,1.25,157.80,1.59%,2.00,78.90
Mobile Phones,Campaign,S | General | EU | EN, --, --,None,EUR,44.31,"10,833",594,5.48%,0.81,479.98,0.67%,4.00,120.00
Tablets,Campaign,S | General | EU | EN, --, --,None,EUR,69.75,122,11,9.02%,0.77,8.51,0.00%,0.00,0.00
Mobile Phones,Campaign,S | General | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,S | General | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,S | General | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,S | Brand | EU | DE, --, --,None,EUR,32.04,68,24,35.29%,0.09,2.18,12.50%,3.00,0.73
Computers,Campaign,S | Brand | EU | DE, --, --,None,EUR,23.33,27,9,33.33%,0.07,0.63,11.11%,1.00,0.63
Tablets,Campaign,S | Brand | EU | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | US | EN, --, --,None,EUR,25.26,"1,152",22,1.91%,1.32,29.10,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | US | EN, --, --,None,EUR,5.69,153,2,1.31%,0.44,0.87,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | US | EN, --, --,None,EUR,12.00,"4,150",63,1.52%,0.79,49.81,1.59%,1.00,49.81
TV screens,Campaign,PMax | Rem | US | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,Rem | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,Sh | General | NL | old, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Sh | General | NL | old, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Sh | General | NL | old, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,S | General | NL, --, --,None,EUR,134.78,103,5,4.85%,2.78,13.88,0.00%,0.00,0.00
Computers,Campaign,S | Brand | UK, --, --,None,EUR,0.00,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Computers,Campaign,S | General | NL, --, --,None,EUR,137.77,"1,456",64,4.40%,3.13,200.59,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | DE, --, --,None,EUR,4.42,"24,278",450,1.85%,0.24,107.35,0.44%,2.00,53.68
Tablets,Campaign,S | Brand | UK, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | DE, --, --,None,EUR,14.15,"2,940",136,4.63%,0.31,41.60,1.47%,2.00,20.80
Mobile Phones,Campaign,PMax | Rem | DE, --, --,None,EUR,20.26,"30,499","1,439",4.72%,0.43,617.85,0.63%,9.00,68.65
Mobile Phones,Campaign,S | Brand | UK, --, --,None,EUR,118.00,5,2,40.00%,0.30,0.59,0.00%,0.00,0.00
Mobile Phones,Campaign,S | General | NL, --, --,None,EUR,91.90,"10,765",499,4.64%,1.98,989.36,2.91%,14.50,68.23
TV screens,Campaign,PMax | Rem | DE, --, --,None,EUR,6.33,95,46,48.42%,0.01,0.60,0.00%,0.00,0.00
Mobile Phones,Campaign,PMAX | shopping | EU | EN, --, --,None,EUR,7.59,"28,973","1,941",6.70%,0.11,219.84,0.10%,2.00,109.92
TV screens,Campaign,PMAX | shopping | EU | EN, --, --,None,EUR,0.00,3,0,0.00%,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,S | General | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,S | General | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,S | General | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMAX | shopping | EU | EN, --, --,None,EUR,3.54,"11,005",235,2.14%,0.17,38.92,0.05%,0.12,328.71
Tablets,Campaign,PMAX | shopping | EU | EN, --, --,None,EUR,4.56,774,87,11.24%,0.04,3.53,0.00%,0.00,0.00
Tablets,Campaign,Sh | General | NL, --, --,None,EUR,39.35,77,3,3.90%,1.01,3.03,0.00%,0.00,0.00
Mobile Phones,Campaign,Sh | General | NL, --, --,None,EUR,19.27,"2,409",39,1.62%,1.19,46.42,0.00%,0.00,0.00
Computers,Campaign,Sh | General | NL, --, --,None,EUR,6.96,425,2,0.47%,1.48,2.96,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | UK, --, --,None,EUR,9.43,676,77,11.39%,0.08,6.38,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | UK, --, --,None,EUR,7.75,77,39,50.65%,0.02,0.60,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | UK, --, --,None,EUR,9.94,"6,588",97,1.47%,0.67,65.46,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | UK, --, --,None,EUR,20.17,"11,381",653,5.74%,0.35,229.55,0.77%,5.00,45.91
Tablets,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,10.90,201,6,2.99%,0.37,2.19,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,21.93,"2,171",103,4.74%,0.46,47.62,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | AU-NZ | EN, --, --,None,EUR,16.60,"1,085",22,2.03%,0.82,18.01,0.00%,0.00,0.00
TV screens,Campaign,ADa_Pants_NL, --,-100%,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,ADa_Pants_NL, --, --,None,EUR,13.54,"22,121","1,080",4.88%,0.28,299.51,0.19%,2.00,149.76
Computers,Campaign,ADa_Pants_NL, --, --,None,EUR,17.15,"1,428",23,1.61%,1.06,24.48,0.00%,0.00,0.00
Tablets,Campaign,ADa_Pants_NL, --,-100%,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | General | DE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | NL #3, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | NL #3, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | NL #3, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | NL #3, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,DGen | EN, --, --,None,EUR,0.25,44,0,0.00%,0,0.01,0.00%,0.00,0.00
Tablets,Campaign,DGen | EN, --, --,None,EUR,0.76,"10,454",52,0.50%,0.15,7.93,0.00%,0.00,0.00
Computers,Campaign,Ehsan - Generic Search_Dutch_NL/BE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,7.13,150,3,2.00%,0.36,1.07,0.00%,0.00,0.00
TV screens,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,3.14,1,0,0.00%,0,0.00,0.00%,0.00,0.00
Computers,Campaign,DGen | EN, --, --,None,EUR,0.34,"261,382",286,0.11%,0.31,89.71,0.00%,0.00,0.00
Mobile Phones,Campaign,Ehsan - Generic Search_Dutch_NL/BE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Ehsan - Generic Search_Dutch_NL/BE, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
TV screens,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,5.80,782,7,0.90%,0.65,4.53,0.00%,0.00,0.00
Mobile Phones,Campaign,PMax | Rem | CA | EN, --, --,None,EUR,10.12,"1,527",107,7.01%,0.14,15.45,0.00%,0.00,0.00
Computers,Campaign,PMax | General | NL, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,DGen | EN, --, --,None,EUR,1.29,"174,533","1,102",0.63%,0.20,224.39,0.00%,0.00,0.00
Tablets,Campaign,S | Brand | EU | EN, --, --,None,EUR,443.44,1,1,100.00%,0.44,0.44,0.00%,0.00,0.00
Computers,Campaign,S | Brand | EU | EN, --, --,None,EUR,180.00,11,4,36.36%,0.50,1.98,0.00%,0.00,0.00
Mobile Phones,Campaign,S | Brand | EU | EN, --, --,None,EUR,37.03,15,6,40.00%,0.09,0.56,0.00%,0.00,0.00
Tablets,Campaign,S | Brand | NL, --, --,None,EUR,270.00,13,4,30.77%,0.88,3.51,0.00%,0.00,0.00
Mobile Phones,Campaign,S | Brand | NL, --, --,None,EUR,97.63,821,263,32.03%,0.30,80.15,16.82%,44.25,1.81
Mobile Phones,Campaign,Rem | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Tablets,Campaign,Rem | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,Rem | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,S | Brand | NL, --, --,None,EUR,107.90,150,44,29.33%,0.37,16.18,6.82%,3.00,5.39
TV screens,Campaign,Rem | EU | FR, --, --,None,EUR,0,0,0, --,0,0.00,0.00%,0.00,0.00
Computers,Campaign,S | General | UK, --, --,None,EUR,92.96,135,9,6.67%,1.39,12.55,0.00%,0.00,0.00
Tablets,Campaign,S | General | UK, --, --,None,EUR,0.00,16,0,0.00%,0,0.00,0.00%,0.00,0.00
Mobile Phones,Campaign,S | General | UK, --, --,None,EUR,77.73,696,47,6.75%,1.15,54.10,2.13%,1.00,54.10
,,,,Total: Account,,EUR,8.16,"825,042","20,488",2.48%,0.33,6734.01,0.74%,151.00,44.60
