Ad group report
1 January 2026 - 26 March 2026
Ad group status,Ad group,Campaign,Currency code,Default max. CPC,Target CPA,Target ROAS,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand inclusions,Locations of interest,Conv. (Platform comparable),Cost/Conv. (Platform comparable),Conv. value/Cost (platform comparable),Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Paused,panty 30 dernier,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor blom kousen,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,tights black,S | General | UK,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor wolford,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Phrase,ADa_Brand_NL,EUR, --, --, --,Eligible,unknown,Standard,EUR,90.87,23,3,13.04%,0.70,2.09,[],[],0.00,0,0.00,3,0.00%,0.00,0.00,0.00,0.70,0.00,0.00
Enabled,Phrase - Competitor,Ehsan - Generic Search_Dutch_NL/BE,EUR, --,33.00, --,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,general,Sh | General | NL | old,EUR,0.50, --, --,Not eligible,campaign paused; unknown,Shopping – Product,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights anti ladder,S | General | EU | EN,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,38.51,"3,921",194,4.95%,0.78,150.99,[],[],0.00,0,0.00,194,1.55%,123.96,0.82,3.00,0.78,50.33,123.96
Enabled,All Products,DGen | EN,EUR, --, --, --,Not eligible,campaign paused; unknown, --,EUR,0.72,"446,413","1,440",0.32%,0.22,322.04,[],"[geo_target_criterion_id: 	 2578
localized_full_name: ""Norway""
name: ""Norway""
country_code: ""NO""
, geo_target_criterion_id: 	 2203
localized_full_name: ""Czechia""
name: ""Czechia""
country_code: ""CZ""
, geo_target_criterion_id: 	 2056
localized_full_name: ""Belgium""
name: ""Belgium""
country_code: ""BE""
, geo_target_criterion_id: 	 2380
localized_full_name: ""Italy""
name: ""Italy""
country_code: ""IT""
, geo_target_criterion_id: 	 2703
localized_full_name: ""Slovakia""
name: ""Slovakia""
country_code: ""SK""
, geo_target_criterion_id: 	 2208
localized_full_name: ""Denmark""
name: ""Denmark""
country_code: ""DK""
, geo_target_criterion_id: 	 2724
localized_full_name: ""Spain""
name: ""Spain""
country_code: ""ES""
, geo_target_criterion_id: 	 2250
localized_full_name: ""France""
name: ""France""
country_code: ""FR""
, geo_target_criterion_id: 	 2040
localized_full_name: ""Austria""
name: ""Austria""
country_code: ""AT""
, geo_target_criterion_id: 	 2246
localized_full_name: ""Finland""
name: ""Finland""
country_code: ""FI""
, geo_target_criterion_id: 	 2528
localized_full_name: ""Netherlands""
name: ""Netherlands""
country_code: ""NL""
, geo_target_criterion_id: 	 2756
localized_full_name: ""Switzerland""
name: ""Switzerland""
country_code: ""CH""
, geo_target_criterion_id: 	 2705
localized_full_name: ""Slovenia""
name: ""Slovenia""
country_code: ""SI""
, geo_target_criterion_id: 	 2620
localized_full_name: ""Portugal""
name: ""Portugal""
country_code: ""PT""
, geo_target_criterion_id: 	 2442
localized_full_name: ""Luxembourg""
name: ""Luxembourg""
country_code: ""LU""
, geo_target_criterion_id: 	 2276
localized_full_name: ""Germany""
name: ""Germany""
country_code: ""DE""
, geo_target_criterion_id: 	 2616
localized_full_name: ""Poland""
name: ""Poland""
country_code: ""PL""
, geo_target_criterion_id: 	 2752
localized_full_name: ""Sweden""
name: ""Sweden""
country_code: ""SE""
]",1.00,322.04,0.17,"1,418",0.00%,0.00,0.00,0.00,0.23,0.00,0.00
Enabled,competitor hedoïne,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor snag tights,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,strumpfhosen onverwoestbare,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights anti ladder,S | General | UK,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,64.89,599,31,5.18%,1.25,38.87,[],[],0.00,0,0.00,31,3.23%,32.45,0.83,1.00,1.25,38.87,32.45
Enabled,Brand,S | Brand | EU | EN,EUR, --, --, --,Not eligible,campaign paused; unknown,Standard,EUR,110.33,27,11,40.74%,0.27,2.98,[],[],0.00,0,0.00,11,0.00%,0.00,0.00,0.00,0.27,0.00,0.00
Enabled,strumpfhosen 80 dernier,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Collants solides,S | General | EU | FR,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Brand,S | Brand | UK,EUR, --, --, --,Not eligible,campaign paused; unknown,Standard,EUR,98.33,6,2,33.33%,0.30,0.59,[],[],0.00,0,0.00,2,0.00%,0.00,0.00,0.00,0.30,0.00,0.00
Enabled,Add payment info,Remarketing,EUR,0.50, --, --,Not eligible,campaign paused; most ads limited by policy,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights 80 den,S | General | UK,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor marcmarcs,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,panty does not break,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,93.26,"4,636",232,5.00%,1.86,432.35,[],[],0.00,0,0.00,232,3.23%,344.58,0.80,7.50,1.86,57.65,344.58
Paused,competitor kruidvat,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Brand,S | Brand | EU | FR,EUR, --, --, --,Not eligible,campaign paused; unknown,Standard,EUR,392.00,5,3,60.00%,0.65,1.96,[],[],0.00,0,0.00,3,0.00%,0.00,0.00,0.00,0.65,0.00,0.00
Enabled,competitor calzedonia,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor sheertex,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,panty 50 dernier,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitors,S | General | UK,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights does not break,S | General | UK,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,139.40,124,13,10.48%,1.33,17.29,[],[],0.00,0,0.00,13,0.00%,0.00,0.00,0.00,1.33,0.00,0.00
Enabled,customer list,Rem | EU | EN,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,panty anti ladder best,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights 80 den,S | General | EU | EN,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,68.70,265,13,4.91%,1.40,18.20,[],[],0.00,0,0.00,13,0.00%,0.00,0.00,0.00,1.40,0.00,0.00
Enabled,14 days add cart,Rem | NL,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,panty zwarte,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor hema,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,All Products,Sh | General | NL,EUR,1.00 (enhanced), --, --,Not eligible,campaign paused; unknown,Shopping – Product,EUR,18.00,"2,911",44,1.51%,1.19,52.41,[],[],0.00,0,0.00,44,0.00%,0.00,0.00,0.00,1.19,0.00,0.00
Enabled,tights ladder resist,S | General | EU | EN,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,36.71,"1,904",100,5.25%,0.70,69.90,[],[],0.00,0,0.00,100,1.00%,152.31,2.18,1.00,0.70,69.90,152.31
Paused,competitor wolford,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,customer list,Rem | NL,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor heist studios,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,panty anti ladder 30 den,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Brand,S | Brand | NL,EUR, --, --, --,Not eligible,campaign paused; unknown,Standard,EUR,101.47,984,311,31.61%,0.32,99.85,[],[],0.00,0,0.00,311,15.19%,"2,549.49",25.53,47.25,0.32,2.11,"2,549.49"
Enabled,14 days add cart,Rem | EU | FR,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor marcmarcs,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,panty 30 dernier plus size,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,tights ladder resist,S | General | UK,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,84.62,124,12,9.68%,0.87,10.49,[],[],0.00,0,0.00,12,0.00%,0.00,0.00,0.00,0.87,0.00,0.00
Paused,competitor blom kousen,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,customer list,Rem | EU | DE,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,panty 80 dernier,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor hunkemoller,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor kruidvat,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,strumpfhosen does not break,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor hedoïne,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,panty anti ladder,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,109.35,"1,036",53,5.12%,2.14,113.29,[],[],0.00,0,0.00,53,0.00%,0.00,0.00,0.00,2.14,0.00,0.00
Enabled,14 days add cart,Rem | EU | EN,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Visitors 7 days,Remarketing,EUR,0.50, --, --,Not eligible,campaign paused; most ads limited by policy,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor anni rolfi,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,Exact,Ehsan - Generic Search_Dutch_NL/BE,EUR, --,40.00, --,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor anni rolfi,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitors,S | General | EU | EN,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor sheertex,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor kunert,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,14 days add cart,Rem | EU | DE,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,panty ladder resist,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,123.23,31,1,3.23%,3.82,3.82,[],[],0.00,0,0.00,1,0.00%,0.00,0.00,0.00,3.82,0.00,0.00
Paused,competitor falke,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,strumpfhosen bijenkorf,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor swedish stockings,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,Broad,Ehsan - Generic Search_Dutch_NL/BE,EUR, --,40.00, --,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,panty bijenkorf,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor zeeman,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,Exact,ADa_Brand_NL,EUR, --, --, --,Eligible,unknown,Standard,EUR,23.07,62,18,29.03%,0.08,1.43,[],[],0.00,0,0.00,18,27.78%,174.75,122.16,5.00,0.08,0.29,174.75
Enabled,competitor swedish stockings,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,competitor falke,S | Competitors | NL,EUR, --, --,250%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor oroblu,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitors,S | General | EU | DE,EUR, --, --,120%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor hunkemoller,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor zeeman,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,customer list,Rem | EU | FR,EUR, --, --, --,Not eligible,campaign paused; unknown,Ad Exchange,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,panty stippen,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,67.73,"1,385",46,3.32%,2.04,93.80,[],[],0.00,0,0.00,46,0.00%,0.00,0.00,0.00,2.04,0.00,0.00
Enabled,strumpfhosen anti ladder,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,competitor snag tights,S | General | NL,EUR, --, --,100%,Paused,ad group paused; campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,strumpfhosen ladder resist,S | General | EU | DE,EUR, --, --,120%,Not eligible,campaign paused; unknown,Standard,EUR,0,0,0, --,0,0.00,[],[],0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,panty anti ladder zwart,S | General | NL,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,340.62,18,2,11.11%,3.07,6.13,[],[],0.00,0,0.00,2,0.00%,0.00,0.00,0.00,3.07,0.00,0.00
Enabled,tights does not break,S | General | EU | EN,EUR, --, --,100%,Not eligible,campaign paused; unknown,Standard,EUR,54.74,"7,439",424,5.70%,0.96,407.19,[],[],0.00,0,0.00,424,0.47%,91.15,0.22,2.00,0.96,203.60,91.15
Total: Ad groups,,,,,,,,,,EUR,5.04,"477,226","3,220",0.67%,0.75,2402.93,,,1.00,2402.93,0.02,"3,198",2.41%,"4,245.81",1.77,77.75,0.75,30.91,"4,245.81"
Total: Account,,,,,,,,,,EUR,8.18,"825,703","20,516",2.48%,0.33,6757.84,,,1.00,6757.84,0.01,"12,270",0.74%,"7,544.68",1.12,151.00,0.55,44.75,"7,513.68"
Total: Shopping,,,,,,,,,,EUR,18.00,"2,911",44,1.51%,1.19,52.41,,,0.00,0,0.00,44,0.00%,0.00,0.00,0.00,1.19,0.00,0.00
Total: Smart,,,,,,,,,,EUR,0,0,0, --,0,0.00,,,0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Performance Max,,,,,,,,,,EUR,12.50,"348,477","17,296",4.96%,0.25,4354.91,,,0.00,0,0.00,"9,072",0.42%,"3,298.87",0.76,73.25,0.48,59.45,"3,267.87"
Total: Search,,,,,,,,,,EUR,72.70,"27,902","1,736",6.22%,1.17,2028.48,,,0.00,0,0.00,"1,736",4.48%,"4,245.81",2.09,77.75,1.17,26.09,"4,245.81"
Total: Demand Gen,,,,,,,,,,EUR,0.72,"446,413","1,440",0.32%,0.22,322.04,,,1.00,322.04,0.17,"1,418",0.00%,0.00,0.00,0.00,0.23,0.00,0.00
Total: Display,,,,,,,,,,EUR,0,0,0, --,0,0.00,,,0.00,0,0,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
